PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
638,1161,1376,731,1690,1271,1331,722,637,903,568,176,160,20,20,20,1637,1284,1528,2419,1497,1965,2064,2639,619,276,303,93,102,328,20,20,-1149,2408,7959,216,730,-100,99.11079807215252,344.4424835211567,28218
604,1134,1371,713,1771,1292,1359,740,668,935,593,182,166,20,20,20,1545,1250,1476,2385,1403,1901,1991,2585,667,297,328,101,101,345,20,20,-1097,2368,7906,5,683,-170,99.24311680891331,340.3317858800843,28003
589,1117,1348,711,1850,1339,1398,788,712,971,636,208,180,20,20,21,1448,1194,1430,2327,1318,1829,1934,2538,727,331,358,115,105,360,20,20,-1128,2343,7923,-128,528,-229,99.4212145054002,334.92924325870825,27962
560,1087,1318,751,1893,1399,1467,855,778,1028,681,239,207,20,21,21,1328,1130,1383,2222,1234,1727,1829,2442,796,371,395,134,116,383,20,21,-1181,2233,7994,-191,445,-275,99.72892734060883,327.679817633544,27856
578,1059,1275,812,1942,1477,1544,910,836,1091,730,267,255,20,21,21,1190,1061,1331,2098,1131,1598,1747,2360,861,403,438,153,125,424,20,21,-1222,2208,7993,-180,419,-264,100.10541746105974,319.6807079391345,27799
578,1037,1223,864,1971,1560,1611,986,912,1135,789,320,330,20,21,21,1045,1013,1294,1953,1033,1492,1676,2272,939,442,473,203,130,460,21,21,-1222,2208,7993,-180,419,-264,100.2933201652002,310.9955647333453,27845
587,1002,1179,908,2041,1633,1624,1070,980,1186,837,403,374,36,21,21,906,968,1241,1812,936,1359,1751,2169,1020,483,522,253,137,506,23,22,-1270,2144,7996,-101,378,-231,100.27682970367728,302.4618529096751,28010
585,969,1138,965,2068,1681,1560,1172,1078,1253,887,456,441,67,23,21,763,914,1188,1665,834,1221,1516,2056,1105,537,572,292,172,573,21,22,-1458,2202,8244,-63,453,-251,100.50724429264784,292.10753190724427,27815
606,906,1088,1014,2128,1732,1856,1328,1160,1320,958,562,497,85,21,46,613,845,1113,1495,708,1077,1532,1860,1187,633,632,369,205,681,21,24,-1247,2176,8044,-114,548,-312,100.75968129460816,279.6176595293619,28302
606,853,1018,1030,2175,1808,1988,1513,1294,1385,1047,678,559,93,21,63,428,759,1031,1263,564,908,1304,1612,1261,716,708,476,251,795,21,24,-1253,2155,8020,-238,733,-404,101.10631105762424,264.3372681580065,28252
600,787,926,1083,2189,1886,2169,1779,1405,1447,1154,800,658,128,21,73,236,667,925,977,412,722,1104,1331,1385,835,799,597,317,878,21,27,-1253,2155,8020,-238,733,-404,101.3903415907968,246.98154421624676,28338
